Year,GeoID,Geography Type,Geography Name,Coverage,Age,Value,Margin of Error,Measure,ObjectId
2017,09001,County,Fairfield,No,18 or Under,14010,1043.2,Count,13216
2017,09001,County,Fairfield,No,18 to 64,41587,1416.7,Count,13217
2017,09001,County,Fairfield,No,19 to 25,13582,877.2,Count,13218
2017,09001,County,Fairfield,No,26 to 34,19412,925.6,Count,13219
2017,09001,County,Fairfield,No,65 and Over,2022,372,Count,13220
2017,09001,County,Fairfield,Total,18 or Under,234166,1221.8,Count,13221
2017,09001,County,Fairfield,Total,18 to 64,390657,289.7,Count,13222
2017,09001,County,Fairfield,Total,19 to 25,81693,921.5,Count,13223
2017,09001,County,Fairfield,Total,26 to 34,96404,718.7,Count,13224
2017,09001,County,Fairfield,Total,65 and Over,136078,402.3,Count,13225
2017,09001,County,Fairfield,Yes,18 or Under,220156,1512.1,Count,13226
2017,09001,County,Fairfield,Yes,18 to 64,349070,1439.5,Count,13227
2017,09001,County,Fairfield,Yes,19 to 25,68111,1144.6,Count,13228
2017,09001,County,Fairfield,Yes,26 to 34,76992,1171.2,Count,13229
2017,09001,County,Fairfield,Yes,65 and Over,134056,547.2,Count,13230
2017,09003,County,Hartford,No,18 or Under,5473,628.7,Count,13774
2017,09003,County,Hartford,No,18 to 64,22641,1013.5,Count,13775
2017,09003,County,Hartford,No,19 to 25,6895,571.7,Count,13776
2017,09003,County,Hartford,No,26 to 34,10476,787.1,Count,13777
2017,09003,County,Hartford,No,65 and Over,708,169.5,Count,13778
2017,09003,County,Hartford,Total,18 or Under,204895,1059.6,Count,13779
2017,09003,County,Hartford,Total,18 to 64,356989,440.8,Count,13780
2017,09003,County,Hartford,Total,19 to 25,79704,852.7,Count,13781
2017,09003,County,Hartford,Total,26 to 34,102440,733.1,Count,13782
2017,09003,County,Hartford,Total,65 and Over,139401,430.5,Count,13783
2017,09003,County,Hartford,Yes,18 or Under,199422,1244.9,Count,13784
2017,09003,County,Hartford,Yes,18 to 64,334348,1084,Count,13785
2017,09003,County,Hartford,Yes,19 to 25,72809,999.2,Count,13786
2017,09003,County,Hartford,Yes,26 to 34,91964,1013.3,Count,13787
2017,09003,County,Hartford,Yes,65 and Over,138693,470.6,Count,13788
2017,09005,County,Litchfield,No,18 or Under,1270,293.8,Count,14272
2017,09005,County,Litchfield,No,18 to 64,4758,450.3,Count,14277
2017,09005,County,Litchfield,No,19 to 25,1094,279.5,Count,14302
2017,09005,County,Litchfield,No,26 to 34,1764,276,Count,14304
2017,09005,County,Litchfield,No,65 and Over,223,96,Count,14306
2017,09005,County,Litchfield,Total,18 or Under,37268,490.1,Count,14308
2017,09005,County,Litchfield,Total,18 to 64,81653,245.4,Count,14310
2017,09005,County,Litchfield,Total,19 to 25,13668,368.6,Count,14312
2017,09005,County,Litchfield,Total,26 to 34,16208,323.2,Count,14315
2017,09005,County,Litchfield,Total,65 and Over,34348,255.7,Count,14319
2017,09005,County,Litchfield,Yes,18 or Under,35998,524.3,Count,14323
2017,09005,County,Litchfield,Yes,18 to 64,76895,503.6,Count,14327
2017,09005,County,Litchfield,Yes,19 to 25,12574,442.9,Count,14331
2017,09005,County,Litchfield,Yes,26 to 34,14444,420.7,Count,14335
2017,09005,County,Litchfield,Yes,65 and Over,34125,265.2,Count,14336
2017,09007,County,Middlesex,No,18 or Under,533,155.2,Count,14584
2017,09007,County,Middlesex,No,18 to 64,3581,474.6,Count,14585
2017,09007,County,Middlesex,No,19 to 25,904,200.9,Count,14586
2017,09007,County,Middlesex,No,26 to 34,1540,330.9,Count,14587
2017,09007,County,Middlesex,No,65 and Over,88,74.3,Count,14588
2017,09007,County,Middlesex,Total,18 or Under,32973,465.2,Count,14589
2017,09007,County,Middlesex,Total,18 to 64,70431,225.5,Count,14590
2017,09007,County,Middlesex,Total,19 to 25,13976,380,Count,14591
2017,09007,County,Middlesex,Total,26 to 34,15819,331.1,Count,14592
2017,09007,County,Middlesex,Total,65 and Over,28982,263.4,Count,14593
2017,09007,County,Middlesex,Yes,18 or Under,32440,487.7,Count,14594
2017,09007,County,Middlesex,Yes,18 to 64,66850,527.9,Count,14595
2017,09007,County,Middlesex,Yes,19 to 25,13072,432.8,Count,14596
2017,09007,County,Middlesex,Yes,26 to 34,14279,438.5,Count,14597
2017,09007,County,Middlesex,Yes,65 and Over,28894,269.4,Count,14598
2017,09009,County,New Haven,No,18 or Under,5497,694.7,Count,15044
2017,09009,County,New Haven,No,18 to 64,24669,1226.2,Count,15049
2017,09009,County,New Haven,No,19 to 25,8424,839.7,Count,15054
2017,09009,County,New Haven,No,26 to 34,11835,965.7,Count,15059
2017,09009,County,New Haven,No,65 and Over,633,183.2,Count,15064
2017,09009,County,New Haven,Total,18 or Under,192143,1168,Count,15069
2017,09009,County,New Haven,Total,18 to 64,340396,309.2,Count,15074
2017,09009,County,New Haven,Total,19 to 25,85150,1023.5,Count,15079
2017,09009,County,New Haven,Total,26 to 34,99950,831.6,Count,15084
2017,09009,County,New Haven,Total,65 and Over,134043,430.6,Count,15088
2017,09009,County,New Haven,Yes,18 or Under,186646,1240.3,Count,15093
2017,09009,County,New Haven,Yes,18 to 64,315727,1263.3,Count,15098
2017,09009,County,New Haven,Yes,19 to 25,76726,1310.9,Count,15103
2017,09009,County,New Haven,Yes,26 to 34,88115,1139,Count,15108
2017,09009,County,New Haven,Yes,65 and Over,133410,490.5,Count,15113
2017,09011,County,New London,Yes,18 or Under,55573,613.8,Count,15255
2017,09011,County,New London,Yes,18 to 64,100397,584,Count,15295
2017,09011,County,New London,Yes,19 to 25,22517,720,Count,15302
2017,09011,County,New London,Yes,26 to 34,24925,609.4,Count,15309
2017,09013,County,Tolland,No,18 or Under,696,200.5,Count,15311
2017,09011,County,New London,No,18 or Under,1050,244.3,Count,15343
2017,09011,County,New London,No,18 to 64,5844,537.4,Count,15344
2017,09011,County,New London,No,19 to 25,1811,383.4,Count,15345
2017,09011,County,New London,No,26 to 34,2915,376.3,Count,15346
2017,09011,County,New London,No,65 and Over,140,82.9,Count,15347
2017,09011,County,New London,Total,18 or Under,56623,589.5,Count,15348
2017,09011,County,New London,Total,18 to 64,106241,296.3,Count,15349
2017,09011,County,New London,Total,19 to 25,24328,661.3,Count,15350
2017,09011,County,New London,Total,26 to 34,27840,497.7,Count,15351
2017,09011,County,New London,Total,65 and Over,43596,235.7,Count,15352
2017,09011,County,New London,Yes,65 and Over,43456,255.1,Count,15354
2017,09013,County,Tolland,No,18 to 64,2375,395.2,Count,15362
