WS Map_uicombfhp_data
Legal Town,Heat Pump Type,RNC,Sector,Source Program Name,Utility,Year,LEGAL TOWN,Program,Source Program,Project Measure: Measure Total Quantity
Beacon Falls,"Air Source Heat Pump, Ducted",Not RNC,C&I,Energy Conscious Blueprint,Eversource,2021,BEACON FALLS,Tracksys,Energy Conscious Blueprint,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2017,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2017,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2017,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2017,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2020,BEACON FALLS,CLMTRS,,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
Beacon Falls,"Air Source Heat Pump, Mini Split",Not RNC,RES,HVAC,Eversource,2021,BEACON FALLS,Tracksys,Energy Optimization Rebate,1
